"","response","intonation","modifier_type","subject.ID","trial_object","probe_type","trial_modifier","group"
"329","2","sarcastic","–grad–subj","31981","dish","nice","lobster","adults"
"330","4","declarative","grad+subj+pos","31981","shirt","nice","lovely","adults"
"331","4","sarcastic","grad+subj+pos","31981","story","nice","funny","adults"
"332","3","declarative","grad+subj+neg","31981","tool","nice","useless","adults"
"333","3","sarcastic","grad+subj+neg","31981","hole","nice","careless","adults"
"334","3","declarative","–grad–subj","31981","solution","nice","partial","adults"
"335","2","sarcastic","–grad–subj","31981","novel","nice","fiction","adults"
"336","3","declarative","grad+subj+pos","31981","video","nice","witty","adults"
"337","4","sarcastic","grad+subj+pos","33424","cake","nice","yummy","adults"
"338","2","declarative","grad+subj+neg","33424","gift","nice","awful","adults"
"339","4","sarcastic","grad+subj+neg","33424","bouquet","nice","messy","adults"
"340","2","declarative","–grad–subj","33424","question","nice","review","adults"
"341","2","sarcastic","–grad–subj","33424","dish","nice","lobster","adults"
"342","5","declarative","grad+subj+pos","33424","shirt","nice","lovely","adults"
"343","5","sarcastic","grad+subj+pos","33424","story","nice","funny","adults"
"344","1","declarative","grad+subj+neg","33424","tool","nice","useless","adults"
"345","1","sarcastic","grad+subj+neg","33424","hole","nice","careless","adults"
"346","4","declarative","–grad–subj","33424","solution","nice","partial","adults"
"347","2","sarcastic","–grad–subj","33424","novel","nice","fiction","adults"
"348","3","declarative","grad+subj+pos","33424","video","nice","witty","adults"
"349","2","sarcastic","grad+subj+pos","26572","cake","nice","yummy","adults"
"350","1","declarative","grad+subj+neg","26572","gift","nice","awful","adults"
"351","2","sarcastic","grad+subj+neg","26572","bouquet","nice","messy","adults"
"352","4","declarative","–grad–subj","26572","question","nice","review","adults"
"353","3","sarcastic","–grad–subj","26572","dish","nice","lobster","adults"
"354","5","declarative","grad+subj+pos","26572","shirt","nice","lovely","adults"
"355","3","sarcastic","grad+subj+pos","26572","story","nice","funny","adults"
"356","2","declarative","grad+subj+neg","26572","tool","nice","useless","adults"
"357","3","sarcastic","grad+subj+neg","26572","hole","nice","careless","adults"
"358","2","declarative","–grad–subj","26572","solution","nice","partial","adults"
"359","4","sarcastic","–grad–subj","26572","novel","nice","fiction","adults"
"360","4","declarative","grad+subj+pos","26572","video","nice","witty","adults"
"361","4","sarcastic","grad+subj+pos","32821","cake","nice","yummy","adults"
"362","1","declarative","grad+subj+neg","32821","gift","nice","awful","adults"
"363","3","sarcastic","grad+subj+neg","32821","bouquet","nice","messy","adults"
"364","1","declarative","–grad–subj","32821","question","nice","review","adults"
"365","4","sarcastic","–grad–subj","32821","dish","nice","lobster","adults"
"366","2","declarative","grad+subj+pos","32821","shirt","nice","lovely","adults"
"367","1","sarcastic","grad+subj+pos","32821","story","nice","funny","adults"
"368","1","declarative","grad+subj+neg","32821","tool","nice","useless","adults"
"369","1","sarcastic","grad+subj+neg","32821","hole","nice","careless","adults"
"370","1","declarative","–grad–subj","32821","solution","nice","partial","adults"
"371","2","sarcastic","–grad–subj","32821","novel","nice","fiction","adults"
"372","3","declarative","grad+subj+pos","32821","video","nice","witty","adults"
"373","4","sarcastic","grad+subj+pos","31939","cake","nice","yummy","adults"
"374","2","declarative","grad+subj+neg","31939","gift","nice","awful","adults"
"375","2","sarcastic","grad+subj+neg","31939","bouquet","nice","messy","adults"
"376","2","declarative","–grad–subj","31939","question","nice","review","adults"
"377","3","sarcastic","–grad–subj","31939","dish","nice","lobster","adults"
"378","4","declarative","grad+subj+pos","31939","shirt","nice","lovely","adults"
"379","4","sarcastic","grad+subj+pos","31939","story","nice","funny","adults"
"380","2","declarative","grad+subj+neg","31939","tool","nice","useless","adults"
"381","1","sarcastic","grad+subj+neg","31939","hole","nice","careless","adults"
"382","3","declarative","–grad–subj","31939","solution","nice","partial","adults"
"383","3","sarcastic","–grad–subj","31939","novel","nice","fiction","adults"
"384","2","declarative","grad+subj+pos","31939","video","nice","witty","adults"
"385","5","sarcastic","grad+subj+pos","30571","cake","nice","yummy","adults"
"386","2","declarative","grad+subj+neg","30571","gift","nice","awful","adults"
"387","2","sarcastic","grad+subj+neg","30571","bouquet","nice","messy","adults"
"388","2","declarative","–grad–subj","30571","question","nice","review","adults"
"389","2","sarcastic","–grad–subj","30571","dish","nice","lobster","adults"
"390","5","declarative","grad+subj+pos","30571","shirt","nice","lovely","adults"
"391","3","sarcastic","grad+subj+pos","30571","story","nice","funny","adults"
"392","1","declarative","grad+subj+neg","30571","tool","nice","useless","adults"
"393","3","sarcastic","grad+subj+neg","30571","hole","nice","careless","adults"
"394","3","declarative","–grad–subj","30571","solution","nice","partial","adults"
